id,Company,TypeName,Inches,touchscreen,cpu_brand,cpu_name,cpu_speed,ram,secondar_storage,primary_storage,memory_type,gpu_brand,gpu_name,OpSys,weight,Price,ppi,touchscreen_cat
164,Dell,Ultrabook,13.3,1,Intel,Core i7,1.8,16,0,512.0,SSD,Intel, UHD Graphics 620,windows,1.2,99580.0,202.37276851499232,Touchscreen
165,Apple,Ultrabook,13.3,0,Intel,Core i5,1.6,8,0,256.0,Flash Storage,Intel, HD Graphics 6000,macos,1.4,53173.0,127.67794013309688,Non-touch
166,MSI,Gaming,17.3,0,Intel,Core i7,2.8,8,1024,256.0,Hybrid,Nvidia, GeForce GTX 1050 Ti,windows,2.7,63883.0,127.33567457123111,Non-touch
167,Lenovo,Notebook,14.0,0,Intel,Celeron Dual,1.1,4,0,64.0,Flash Storage,Intel, HD Graphics 500,windows,1.4,13267.0,111.93520355955211,Non-touch
168,Acer,Notebook,15.6,0,Intel,Core i3,2.7,4,0,1024.0,HDD,Intel, HD Graphics 620,linux,2.1,19554.0,100.45466986113651,Non-touch
169,Dell,Notebook,15.6,0,Intel,Core i5,1.6,8,0,256.0,SSD,AMD, Radeon 520,windows,2.1,38788.0,141.21199808219862,Non-touch
170,Toshiba,Notebook,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,windows,2.0,50243.0,141.21199808219862,Non-touch
171,Lenovo,Gaming,15.6,0,Intel,Core i7,2.8,16,0,256.0,SSD,Nvidia, GeForce GTX 1050 Ti,windows,2.5,57489.0,141.21199808219862,Non-touch
172,Asus,Notebook,14.0,0,Intel,Core i7,2.7,8,1024,256.0,Hybrid,Intel, HD Graphics 620,windows,2.0,71076.0,157.3505121487356,Non-touch
173,Dell,Notebook,17.3,0,Intel,Core i5,1.6,8,1024,128.0,Hybrid,AMD, Radeon 530,windows,2.8,52161.0,127.33567457123111,Non-touch
174,Lenovo,Notebook,15.6,0,Intel,Core i3,2.0,4,0,1024.0,HDD,Intel, HD Graphics 520,windows,1.9,23923.0,141.21199808219862,Non-touch
175,HP,Notebook,15.6,0,Intel,Core i5,2.5,4,0,1024.0,HDD,Intel, HD Graphics 620,windows,1.9,26037.0,100.45466986113651,Non-touch
176,Acer,Notebook,15.6,0,Intel,Celeron Dual,1.1,4,0,1024.0,HDD,Intel, HD Graphics 500,windows,2.1,18541.0,100.45466986113651,Non-touch
177,HP,Notebook,15.6,0,Intel,Core i5,1.6,8,0,256.0,SSD,Nvidia, GeForce 930MX ,windows,2.1,46833.0,141.21199808219862,Non-touch
178,Asus,Notebook,15.6,0,Intel,Core i3,2.0,4,0,1024.0,HDD,Intel, HD Graphics 620,linux,2.0,20726.0,141.21199808219862,Non-touch
179,MSI,Gaming,15.6,0,Intel,Core i7,2.8,16,1024,256.0,Hybrid,Nvidia, GeForce GTX 1060,windows,2.4,95851.0,141.21199808219862,Non-touch
180,Asus,Gaming,15.6,0,Intel,Core i7,2.8,8,0,256.0,SSD,Nvidia, GeForce GTX 1050,windows,2.5,53227.0,141.21199808219862,Non-touch
181,Acer,Notebook,15.6,0,Intel,Pentium Quad,1.1,4,0,1024.0,HDD,Intel, HD Graphics 505,windows,2.1,19368.0,100.45466986113651,Non-touch
182,Dell,Gaming,15.6,0,Intel,Core i7,2.8,16,1024,256.0,Hybrid,Nvidia, GeForce GTX 1060,windows,2.7,79867.0,141.21199808219862,Non-touch
183,Asus,Notebook,15.6,0,Intel,Core i5,2.5,8,0,1024.0,HDD,Nvidia, GeForce 940MX,linux,2.3,27865.0,100.45466986113651,Non-touch
184,Dell,Gaming,15.6,0,Intel,Core i7,2.8,8,1024,128.0,Hybrid,Nvidia, GeForce GTX 1050,windows,2.6,56503.0,141.21199808219862,Non-touch
185,HP,Notebook,14.0,0,Intel,Core i5,2.6,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.5,67559.0,157.3505121487356,Non-touch
186,Acer,Notebook,15.6,0,Intel,Core i5,1.6,4,0,256.0,SSD,Intel, UHD Graphics 620,windows,2.2,36337.0,141.21199808219862,Non-touch
187,Acer,Notebook,17.3,0,Intel,Core i5,1.6,8,0,256.0,SSD,Nvidia, GeForce MX150,windows,3.0,45501.0,127.33567457123111,Non-touch
188,Dell,2 in 1 Convertible,17.3,1,Intel,Core i5,1.6,12,0,1024.0,HDD,Nvidia, GeForce 150MX,windows,2.8,53227.0,127.33567457123111,Touchscreen
189,Apple,Ultrabook,13.3,0,Intel,Core i5,2.0,8,0,256.0,SSD,Intel, Iris Graphics 540,macos,1.4,75604.0,202.37276851499232,Non-touch
190,HP,Notebook,13.3,0,Intel,Core i5,1.6,4,0,500.0,HDD,Intel, UHD Graphics 620,windows,1.5,40173.0,165.6321180513006,Non-touch
191,HP,Notebook,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.8,60952.0,141.21199808219862,Non-touch
192,Asus,Gaming,17.3,0,AMD,Ryzen 1700,3.0,8,1024,256.0,Hybrid,AMD, Radeon RX 580,windows,3.2,69211.0,127.33567457123111,Non-touch
193,Dell,Notebook,15.6,0,Intel,Core i5,2.5,4,0,256.0,SSD,AMD, Radeon R5 M430,windows,2.3,34046.0,141.21199808219862,Non-touch
194,Asus,Notebook,15.6,0,Intel,Celeron Dual,1.1,4,0,1024.0,HDD,Intel, HD Graphics 500,linux,2.0,14651.0,100.45466986113651,Non-touch
195,Asus,Notebook,17.3,0,Intel,Pentium Quad,1.1,4,0,1024.0,HDD,Nvidia, GeForce 920MX,windows,2.8,24828.0,90.58340172449303,Non-touch
196,Dell,Notebook,15.6,0,Intel,Core i5,1.6,8,0,256.0,SSD,Nvidia, GeForce 940MX,windows,2.0,60886.0,141.21199808219862,Non-touch
197,Huawei,Ultrabook,13.0,0,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.1,71875.0,199.69207064108247,Non-touch
198,HP,Notebook,17.3,0,Intel,Core i5,2.5,6,0,1100.0,HDD,AMD, Radeon 520,windows,2.7,37243.0,127.33567457123111,Non-touch
199,Lenovo,2 in 1 Convertible,13.9,1,Intel,Core i7,1.8,8,0,512.0,SSD,Intel, UHD Graphics 620,windows,1.4,98515.0,158.48253022174808,Touchscreen
200,Lenovo,Notebook,15.6,0,AMD,A6-Series 9220,2.9,4,0,500.0,HDD,AMD, Radeon R4 Graphics,,2.2,16464.0,100.45466986113651,Non-touch
201,Dell,Notebook,15.6,0,Intel,Celeron Dual,1.6,4,0,500.0,HDD,Intel, HD Graphics,linux,2.2,14647.0,100.45466986113651,Non-touch
202,Lenovo,Notebook,15.6,0,AMD,A12-Series 9720P,3.6,12,0,1100.0,HDD,AMD, Radeon 530,windows,2.2,47899.0,141.21199808219862,Non-touch
203,Toshiba,Notebook,15.6,0,Intel,Core i3,2.4,4,0,500.0,HDD,Intel, HD Graphics 620,windows,5.4,26054.0,100.45466986113651,Non-touch
204,HP,Notebook,15.6,0,Intel,Core i3,2.4,8,0,1024.0,HDD,Nvidia, GeForce 930MX ,windows,2.1,38148.0,141.21199808219862,Non-touch
205,Acer,Notebook,17.3,0,Intel,Core i3,2.7,4,0,256.0,SSD,Nvidia, GeForce MX130,windows,3.0,37403.0,127.33567457123111,Non-touch
206,Lenovo,2 in 1 Convertible,13.9,1,Intel,Core i7,1.8,16,0,512.0,SSD,Intel, UHD Graphics 620,windows,1.4,111835.0,202.37276851499232,Touchscreen
207,HP,Notebook,17.3,0,Intel,Core i5,1.6,8,0,256.0,SSD,Nvidia, GeForce 930MX,windows,2.5,49177.0,127.33567457123111,Non-touch
208,Dell,Ultrabook,13.3,0,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.4,50563.0,165.6321180513006,Non-touch
209,Dell,Notebook,15.6,0,Intel,Core i3,2.4,8,0,1024.0,HDD,Intel, HD Graphics 620,windows,2.3,24456.0,100.45466986113651,Non-touch
210,HP,Notebook,15.6,0,AMD,A6-Series A6-9220,2.5,8,0,128.0,SSD,AMD, Radeon R4 Graphics,windows,1.9,23758.0,100.45466986113651,Non-touch
211,Acer,Notebook,15.6,0,Intel,Core i3,2.0,4,0,128.0,SSD,Intel, HD Graphics 520,windows,2.1,23923.0,100.45466986113651,Non-touch
212,MSI,Gaming,18.4,0,Intel,Core i7,2.9,20,1024,512.0,Hybrid,Nvidia, GTX 980 SLI,windows,4.4,149131.0,119.7232157653423,Non-touch
213,Dell,Ultrabook,13.3,0,Intel,Core i7,1.8,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.2,84129.0,165.6321180513006,Non-touch
214,Acer,Notebook,15.6,0,Intel,Core i7,1.8,8,0,256.0,SSD,Nvidia, GeForce MX150,windows,2.2,44808.0,141.21199808219862,Non-touch
215,HP,Notebook,17.3,0,Intel,Core i7,1.8,16,0,1024.0,HDD,Nvidia, GeForce MX150,windows,2.9,56424.0,127.33567457123111,Non-touch
216,Lenovo,Gaming,15.6,0,Intel,Core i7,2.8,16,2048,256.0,Hybrid,Nvidia, GeForce GTX 1050 Ti,windows,2.4,60153.0,141.21199808219862,Non-touch
217,MSI,Gaming,17.3,0,Intel,Core i7,2.8,16,1024,512.0,Hybrid,Nvidia, GeForce GTX 1070,windows,4.1,133147.0,127.33567457123111,Non-touch
218,HP,Notebook,14.0,0,Intel,Celeron Dual,1.6,2,0,32.0,Flash Storage,Intel, HD Graphics 400,windows,1.4,14865.0,111.93520355955211,Non-touch
219,Dell,Ultrabook,15.6,0,Intel,Core i7,1.9,16,256,512.0,SSD,Intel, UHD Graphics 620,windows,1.9,85672.0,141.21199808219862,Non-touch
220,Lenovo,Notebook,15.6,0,Intel,Core i5,2.5,8,1024,128.0,Hybrid,AMD, R17M-M1-70,windows,1.9,43317.0,141.21199808219862,Non-touch
221,HP,2 in 1 Convertible,13.3,1,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.3,79867.0,202.37276851499232,Touchscreen
222,Lenovo,2 in 1 Convertible,15.6,1,Intel,Core i7,2.8,8,0,512.0,SSD,Nvidia, GeForce GTX 1050M,windows,2.0,90523.0,141.21199808219862,Touchscreen
223,Asus,2 in 1 Convertible,11.6,1,Intel,Celeron Dual,1.1,4,0,32.0,Flash Storage,Intel, HD Graphics 500,windows,1.5,19980.0,135.0942111925629,Touchscreen
224,Dell,Notebook,15.6,0,Intel,Core i7,1.8,16,2048,256.0,Hybrid,AMD, Radeon 530,linux,2.0,55891.0,141.21199808219862,Non-touch
225,Dell,Notebook,17.3,0,Intel,Core i7,1.8,8,1024,128.0,Hybrid,AMD, Radeon 530,windows,2.8,60846.0,127.33567457123111,Non-touch
226,Dell,Ultrabook,13.3,0,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.2,74539.0,165.6321180513006,Non-touch
227,Dell,Ultrabook,15.6,0,Intel,Core i5,1.6,8,0,1024.0,HDD,AMD, Radeon 530,windows,0.0,35325.0,141.21199808219862,Non-touch
228,HP,Notebook,15.6,0,Intel,Core i7,2.7,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.8,69477.0,141.21199808219862,Non-touch
229,Lenovo,Notebook,15.6,0,Intel,Core i3,2.0,4,0,256.0,SSD,Intel, HD Graphics 520,,2.2,23656.0,141.21199808219862,Non-touch
230,MSI,Gaming,17.3,0,Intel,Core i7,2.8,8,1024,128.0,Hybrid,Nvidia, GeForce GTX 1060,windows,2.7,75072.0,127.33567457123111,Non-touch
231,HP,Notebook,15.6,0,Intel,Core i5,1.6,4,0,500.0,HDD,Intel, HD Graphics 620,windows,2.1,38468.0,141.21199808219862,Non-touch
232,HP,Notebook,15.6,0,AMD,A6-Series 9220,2.5,4,0,256.0,SSD,AMD, Radeon R4 Graphics,windows,1.9,21232.0,141.21199808219862,Non-touch
233,HP,Notebook,13.3,0,Intel,Core i7,1.8,8,0,512.0,SSD,Intel, UHD Graphics 620,windows,1.5,58768.0,165.6321180513006,Non-touch
234,Acer,Notebook,15.6,0,Intel,Core i3,2.4,4,0,1024.0,HDD,Intel, HD Graphics 620,windows,2.4,20460.0,100.45466986113651,Non-touch
235,Dell,Notebook,15.6,0,Intel,Core i7,1.8,8,0,256.0,SSD,AMD, Radeon 520,windows,2.1,40908.0,141.21199808219862,Non-touch
236,Lenovo,2 in 1 Convertible,13.9,1,Intel,Core i7,1.8,16,0,512.0,SSD,Intel, UHD Graphics 620,windows,1.4,98515.0,202.37276851499232,Touchscreen
237,HP,Notebook,15.6,0,Intel,Core i3,2.0,4,0,128.0,SSD,Intel, HD Graphics 520,windows,1.9,23390.0,141.21199808219862,Non-touch
238,Toshiba,Notebook,15.6,0,Intel,Core i5,2.5,8,0,128.0,SSD,Intel, HD Graphics 620,windows,2.0,42251.0,100.45466986113651,Non-touch
239,Xiaomi,Notebook,15.6,0,Intel,Core i5,1.6,8,0,256.0,SSD,Nvidia, GeForce MX150,,2.0,63883.0,141.21199808219862,Non-touch
240,Asus,Notebook,15.6,0,Intel,Core i5,2.5,4,0,256.0,SSD,Intel, HD Graphics 620,windows,2.0,31232.0,100.45466986113651,Non-touch
241,MSI,Gaming,17.3,0,Intel,Core i7,2.8,16,2048,256.0,Hybrid,Nvidia, GeForce GTX 1070,windows,2.4,130483.0,127.33567457123111,Non-touch
242,Dell,Notebook,15.6,0,Intel,Core i5,2.5,4,0,1024.0,HDD,Intel, HD Graphics 620,windows,2.2,35005.0,141.21199808219862,Non-touch
243,Dell,Notebook,17.3,1,Intel,Core i7,1.8,16,0,512.0,SSD,Nvidia, GeForce 150MX,windows,2.8,82531.0,127.33567457123111,Touchscreen
244,Dell,Notebook,15.6,0,Intel,Core i5,2.5,8,0,1024.0,HDD,AMD, Radeon R5 M430,windows,2.2,30103.0,141.21199808219862,Non-touch
245,Asus,Notebook,15.6,0,Intel,Core i3,2.0,4,0,256.0,SSD,Intel, HD Graphics 520,linux,2.0,22111.0,141.21199808219862,Non-touch
246,Dell,Notebook,15.6,1,Intel,Core i7,2.8,16,0,512.0,SSD,Nvidia, GeForce GTX 1050,windows,2.1,127712.0,202.37276851499232,Touchscreen
247,Dell,Notebook,17.3,0,Intel,Core i7,1.8,16,2048,256.0,Hybrid,AMD, Radeon 530,windows,2.8,69211.0,127.33567457123111,Non-touch
248,Dell,2 in 1 Convertible,15.6,1,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,2.7,42571.0,141.21199808219862,Touchscreen
249,Asus,2 in 1 Convertible,13.3,1,Intel,Core i7,1.8,8,512,512.0,SSD,Intel, UHD Graphics 620,windows,4.1,79867.0,165.6321180513006,Touchscreen
250,Dell,Ultrabook,14.0,0,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.7,46833.0,157.3505121487356,Non-touch
251,Lenovo,Notebook,14.0,0,Intel,Core i3,2.7,8,0,256.0,SSD,Intel, HD Graphics 620,,1.7,31915.0,157.3505121487356,Non-touch
252,HP,Notebook,17.3,0,Intel,Core i7,1.8,8,0,1024.0,HDD,Nvidia, GeForce 930MX ,windows,2.5,54239.0,127.33567457123111,Non-touch
253,Asus,Notebook,14.0,0,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.4,50136.0,157.3505121487356,Non-touch
254,HP,Notebook,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.9,36763.0,141.21199808219862,Non-touch
255,Lenovo,Gaming,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Nvidia, GeForce GTX 1050,,2.4,41505.0,141.21199808219862,Non-touch
256,Asus,Ultrabook,15.6,0,Intel,Core i7,2.8,16,0,512.0,SSD,Nvidia, GeForce GTX 1050 Ti,windows,1.8,105654.0,141.21199808219862,Non-touch
257,Lenovo,Notebook,15.6,0,Intel,Core i7,1.8,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,2.1,46886.0,141.21199808219862,Non-touch
258,Acer,Ultrabook,13.3,0,Intel,Core i5,1.2,8,0,256.0,SSD,Intel, HD Graphics 615,windows,1.1,52694.0,165.6321180513006,Non-touch
259,HP,Notebook,15.6,0,Intel,Core i3,2.0,4,0,500.0,HDD,AMD, Radeon 520,windows,1.9,23373.0,100.45466986113651,Non-touch
260,HP,Workstation,15.6,0,Intel,Core i7,2.8,8,0,256.0,SSD,Nvidia, Quadro M1200,windows,2.6,92615.0,141.21199808219862,Non-touch
261,Dell,Notebook,17.3,0,Intel,Core i7,1.8,8,1024,128.0,Hybrid,AMD, Radeon 530,windows,2.8,57809.0,127.33567457123111,Non-touch
262,Apple,Ultrabook,13.3,0,Intel,Core i5,2.9,8,0,512.0,SSD,Intel, Iris Graphics 550,macos,1.4,104370.0,202.37276851499232,Non-touch
263,HP,Notebook,14.0,0,Intel,Celeron Dual,1.6,4,0,32.0,SSD,Intel, HD Graphics 400,windows,1.4,12201.0,111.93520355955211,Non-touch
264,Lenovo,Notebook,15.6,0,Intel,Core i5,2.5,4,0,1024.0,HDD,Intel, HD Graphics 620,windows,1.9,29251.0,141.21199808219862,Non-touch
265,Asus,Gaming,17.3,0,AMD,Ryzen 1700,3.0,16,1024,256.0,Hybrid,AMD, Radeon RX 580,windows,3.2,82531.0,127.33567457123111,Non-touch
266,Asus,Gaming,17.3,0,Intel,Core i7,2.8,12,0,1024.0,HDD,Nvidia, GeForce GTX 1050 Ti,linux,3.0,50563.0,127.33567457123111,Non-touch
267,Toshiba,Notebook,15.6,0,Intel,Core i7,2.5,16,0,512.0,SSD,Nvidia, GeForce 930M,windows,2.4,74752.0,141.21199808219862,Non-touch
268,Vero,Notebook,14.0,0,Intel,Celeron Dual,1.1,4,0,32.0,Flash Storage,Intel, HD Graphics 500,windows,1.3,13853.0,157.3505121487356,Non-touch
269,Dell,Notebook,15.6,0,Intel,Core i7,1.8,8,0,256.0,SSD,AMD, Radeon 520,linux,2.1,39165.0,141.21199808219862,Non-touch
270,Dell,Notebook,15.6,0,Intel,Core i7,1.8,8,2048,128.0,Hybrid,AMD, Radeon 530,windows,2.0,51730.0,141.21199808219862,Non-touch
271,Microsoft,Ultrabook,13.5,1,Intel,Core i5,2.5,4,0,128.0,SSD,Intel, HD Graphics 620,windows,1.3,58022.0,200.84255993695703,Touchscreen
272,Lenovo,Notebook,15.6,0,Intel,Celeron Dual,1.1,4,0,1024.0,HDD,Intel, HD Graphics 500,,2.2,17156.0,100.45466986113651,Non-touch
273,Xiaomi,Ultrabook,13.3,0,Intel,Core i5,2.5,8,0,256.0,SSD,Nvidia, GeForce MX150,,1.3,53275.0,165.6321180513006,Non-touch
274,Dell,Ultrabook,13.3,0,Intel,Core i7,1.8,20,0,256.0,SSD,AMD, Radeon 530,windows,1.4,50882.0,165.6321180513006,Non-touch
275,Lenovo,2 in 1 Convertible,14.0,1,Intel,Core i7,2.6,16,0,512.0,SSD,Intel, HD Graphics 520,windows,1.4,133147.0,202.37276851499232,Touchscreen
276,Dell,Notebook,15.6,0,Intel,Core i7,1.8,8,0,256.0,SSD,AMD, Radeon 530,windows,2.2,46354.0,141.21199808219862,Non-touch
277,Lenovo,Notebook,17.3,0,Intel,Core i5,1.6,8,0,256.0,SSD,Nvidia, GeForce MX150,,2.8,37189.0,106.11306214269258,Non-touch
278,MSI,Gaming,17.3,0,Intel,Core i5,2.5,8,1024,128.0,Hybrid,Nvidia, GeForce GTX 1050,windows,2.7,58342.0,127.33567457123111,Non-touch
279,Dell,Gaming,15.6,0,Intel,Core i5,2.5,8,0,1024.0,HDD,Nvidia, GeForce GTX 1050,windows,2.7,53227.0,141.21199808219862,Non-touch
280,Acer,Notebook,14.0,0,Intel,Core i3,2.0,8,0,1024.0,HDD,Intel, HD Graphics 520,windows,2.1,20726.0,111.93520355955211,Non-touch
281,Dell,2 in 1 Convertible,13.3,1,Intel,Core i7,1.8,8,0,1024.0,HDD,Intel, UHD Graphics 620,windows,1.6,44702.0,165.6321180513006,Touchscreen
282,Toshiba,Notebook,15.6,0,Intel,Core i7,2.5,8,0,500.0,HDD,Nvidia, GeForce 930M,windows,2.2,43263.0,100.45466986113651,Non-touch
283,Dell,Notebook,15.6,1,Intel,Core i5,2.5,8,0,1100.0,HDD,Intel, HD Graphics 620,windows,2.4,29697.0,100.45466986113651,Touchscreen
284,Dell,Notebook,15.6,0,Intel,Core i7,2.7,12,0,1024.0,HDD,Intel, HD Graphics 620,windows,2.3,37992.0,100.45466986113651,Non-touch
285,Dell,Notebook,17.3,0,Intel,Core i7,1.8,8,1024,128.0,Hybrid,AMD, Radeon 530,linux,2.8,58555.0,127.33567457123111,Non-touch
286,Asus,Gaming,15.6,0,Intel,Core i7,2.8,8,0,1024.0,HDD,Nvidia, GeForce GTX 1050,windows,2.2,50563.0,141.21199808219862,Non-touch
287,HP,Notebook,17.3,0,Intel,Core i5,1.6,8,0,1024.0,HDD,Nvidia, GeForce 930MX,windows,2.5,48698.0,127.33567457123111,Non-touch
288,Acer,Notebook,15.6,0,Intel,Core i7,1.8,8,0,1024.0,HDD,Nvidia, GeForce MX130,windows,2.2,39694.0,141.21199808219862,Non-touch
289,Lenovo,Notebook,15.6,0,Intel,Core i5,2.5,8,0,1100.0,HDD,Intel, HD Graphics 620,,2.2,27652.0,141.21199808219862,Non-touch
290,Dell,Notebook,14.0,0,Intel,Core i5,2.6,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.4,76031.0,157.3505121487356,Non-touch
291,Razer,Gaming,17.3,1,Intel,Core i7,2.9,20,0,1024.0,SSD,Nvidia, GeForce GTX 1080,windows,3.5,200000.0,202.37276851499232,Touchscreen
292,Dell,Notebook,15.6,0,Intel,Core i7,1.8,8,1024,128.0,Hybrid,Intel, UHD Graphics 620,windows,2.0,45554.0,141.21199808219862,Non-touch
293,HP,Notebook,15.6,0,Intel,Core i3,2.0,4,0,500.0,HDD,Intel, HD Graphics 520,windows,1.9,23390.0,100.45466986113651,Non-touch
294,Acer,Notebook,15.6,0,Intel,Core i3,2.7,4,0,1024.0,HDD,Nvidia, GeForce MX130,windows,2.2,28238.0,141.21199808219862,Non-touch
295,Lenovo,Notebook,17.3,0,Intel,Core i3,2.0,4,0,1024.0,HDD,Intel, HD Graphics 520,windows,2.8,26054.0,106.11306214269258,Non-touch
296,Asus,Notebook,14.0,0,Intel,Core i5,2.5,8,0,256.0,SSD,Intel, HD Graphics 620,windows,2.0,50350.0,157.3505121487356,Non-touch
297,Lenovo,Notebook,17.3,0,Intel,Core i7,1.8,8,0,1100.0,HDD,Nvidia, GeForce MX150,,2.8,45235.0,127.33567457123111,Non-touch
298,Lenovo,Notebook,17.3,0,Intel,Core i5,2.5,6,1024,128.0,Hybrid,Nvidia, GeForce GTX 940MX,windows,2.8,38308.0,106.11306214269258,Non-touch
299,Lenovo,Notebook,17.3,0,Intel,Core i7,2.7,6,1024,128.0,Hybrid,Nvidia, GeForce 940MX,windows,2.8,45768.0,106.11306214269258,Non-touch
300,Dell,Notebook,15.6,0,Intel,Core i3,2.0,4,0,1024.0,HDD,AMD, Radeon R5 M430,linux,2.3,22804.0,141.21199808219862,Non-touch
301,HP,Notebook,15.6,0,Intel,Core i5,2.5,8,0,1024.0,HDD,Intel, HD Graphics 620,windows,1.9,34046.0,141.21199808219862,Non-touch
302,Lenovo,Notebook,15.6,0,Intel,Core i3,2.0,8,0,256.0,SSD,Nvidia, GeForce 920MX ,,2.2,26587.0,100.45466986113651,Non-touch
303,Lenovo,Gaming,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Nvidia, GeForce GTX 1050,windows,2.5,44169.0,141.21199808219862,Non-touch
304,HP,Notebook,15.6,0,Intel,Pentium Quad,1.6,8,0,1100.0,HDD,Intel, HD Graphics 405,windows,2.0,20726.0,100.45466986113651,Non-touch
305,Lenovo,Notebook,15.6,0,Intel,Core i5,2.5,6,0,256.0,SSD,Intel, HD Graphics 620,windows,2.2,30849.0,141.21199808219862,Non-touch
306,Dell,Notebook,17.3,0,Intel,Core i5,1.6,8,1024,128.0,Hybrid,AMD, Radeon 530,windows,2.8,57809.0,127.33567457123111,Non-touch
307,Acer,Notebook,15.6,0,Intel,Core i7,1.8,8,0,256.0,SSD,Nvidia, GeForce MX150,windows,3.0,50669.0,141.21199808219862,Non-touch
308,Lenovo,Gaming,15.6,0,Intel,Core i5,2.5,8,1024,128.0,Hybrid,Nvidia, GeForce GTX 1050,,2.4,43104.0,141.21199808219862,Non-touch
309,Acer,Notebook,15.6,1,Intel,Core i7,2.7,12,0,1024.0,HDD,Intel, HD Graphics 620,windows,2.2,35112.0,141.21199808219862,Touchscreen
310,Dell,Notebook,15.6,0,Intel,Core i7,2.7,8,0,256.0,SSD,AMD, Radeon R7 M445,windows,2.3,47899.0,141.21199808219862,Non-touch
311,Lenovo,Notebook,15.6,0,Intel,Core i7,2.7,8,0,256.0,SSD,Intel, HD Graphics 630,windows,2.0,58448.0,141.21199808219862,Non-touch
312,HP,Notebook,13.3,0,Intel,Core i5,1.6,8,0,512.0,SSD,Intel, UHD Graphics 620,windows,1.5,51096.0,165.6321180513006,Non-touch
313,HP,Gaming,17.3,0,Intel,Core i7,2.8,16,1024,256.0,Hybrid,Nvidia, GeForce GTX 1050,windows,3.4,73473.0,127.33567457123111,Non-touch
314,HP,Ultrabook,14.0,0,Intel,Core i7,2.7,8,0,256.0,SSD,Intel, HD Graphics 620,windows,1.4,93240.0,157.3505121487356,Non-touch
315,Asus,Ultrabook,15.6,0,Intel,Core i5,2.5,8,0,256.0,SSD,Nvidia, GeForce 940MX,windows,1.7,52055.0,141.21199808219862,Non-touch
316,Asus,2 in 1 Convertible,15.6,1,Intel,Core i7,2.7,12,2048,512.0,Hybrid,Nvidia, GeForce GT 940MX,windows,2.3,58555.0,141.21199808219862,Touchscreen
317,Lenovo,Gaming,15.6,0,Intel,Core i7,2.8,16,1024,256.0,Hybrid,Nvidia, GeForce GTX 1050 Ti,windows,2.5,62817.0,141.21199808219862,Non-touch
318,HP,Notebook,17.3,0,Intel,Core i7,1.8,8,0,256.0,SSD,Nvidia, GeForce 930MX ,windows,2.5,55678.0,127.33567457123111,Non-touch
319,HP,Notebook,17.3,0,Intel,Core i5,1.6,8,1024,128.0,Hybrid,Nvidia, GeForce 930MX,windows,2.5,52055.0,127.33567457123111,Non-touch
320,Acer,Notebook,15.6,0,AMD,A9-Series 9420,3.0,4,0,128.0,SSD,AMD, Radeon R5,windows,2.1,22697.0,100.45466986113651,Non-touch
321,Lenovo,Notebook,15.6,0,Intel,Core i7,2.7,8,0,1024.0,HDD,Nvidia, GeForce 940MX,,2.2,35112.0,141.21199808219862,Non-touch
322,Dell,Gaming,15.6,0,Intel,Core i7,2.8,16,1024,512.0,Hybrid,Nvidia, GeForce GTX 1060,windows,2.7,98302.0,202.37276851499232,Non-touch
323,Dell,Ultrabook,15.6,0,Intel,Core i5,1.6,8,0,256.0,SSD,Intel, UHD Graphics 620,windows,1.9,58403.0,141.21199808219862,Non-touch
324,Apple,Ultrabook,12.0,0,Intel,Core i5,1.3,8,0,512.0,SSD,Intel, HD Graphics 615,macos,0.9,80453.0,202.37276851499232,Non-touch
325,Asus,Gaming,17.3,0,AMD,Ryzen 1700,3.0,16,1024,256.0,Hybrid,AMD, Radeon RX 580,windows,3.3,117163.0,127.33567457123111,Non-touch
326,Acer,Notebook,15.6,0,Intel,Celeron Dual,1.5,2,0,16.0,SSD,Intel, HD Graphics,other,2.2,10603.0,100.45466986113651,Non-touch
327,Lenovo,Notebook,15.6,0,Intel,Core i5,2.3,4,0,128.0,SSD,Intel, HD Graphics 520,windows,2.1,26267.0,100.45466986113651,Non-touch
